Number of Records,Ace1,Ace2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,Break1,Break2,Country1,Country2,Double1,Double2,Error1,Error2,fastServe1,fastServe2,firstPointWon1,firstPointWon2,firstServe1,firstServe2,Gender,Net1,Net2,Player1,Player2,Results,Return1,Return2,Round,secPointWon1,secPointWon2,Total1,Total2,Winner1,Winner2,Winner,Year
1,4,11,179,183,143,156,0.44,0.32,ESP,SUI,4,6,41,64,196,204,0.66,0.73,0.64,0.52,m,0.58,0.72,Rafael Nadal,Roger Federer,7-5 3-6 7-6(3) 3-6 6-2,0.4,0.41,Final,0.48,0.45,173,174,50,71,Rafael Nadal,2009
1,12,20,182,188,143,158,0.2,0.5,ESP,ESP,3,4,25,76,200,220,0.72,0.71,0.74,0.69,m,0.7,0.65,Rafael Nadal,Fernando Verdasco,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,0.34,0.31,semi,0.62,0.55,193,192,52,95,Rafael Nadal,2009
1,16,8,188,206,156,172,0.31,0,SUI,USA,0,2,15,18,208,224,0.83,0.7,0.66,0.65,m,0.63,0.5,Roger Federer,Andy Roddick,6-2 7-5 7-5,0.36,0.26,semi,0.58,0.52,105,85,51,38,Roger Federer,2009
1,5,4,183,182,140,135,0.58,0.43,ESP,FRA,2,4,24,41,203,203,0.73,0.71,0.67,0.55,m,0.87,0.66,Rafael Nadal,Gilles Simon,6-2 7-5 7-5,0.44,0.32,quarter,0.58,0.38,105,83,29,42,Rafael Nadal,2009
1,7,9,174,185,154,150,1,0.15,ESP,FRA,3,3,29,40,216,216,0.69,0.72,0.78,0.65,m,0.7,0.61,Fernando Verdasco,Jo-Wilfried Tsonga,7-6(2) 3-6 6-3 6-2,0.36,0.33,quarter,0.59,0.49,129,114,36,46,Fernando Verdasco,2009
1,12,5,188,192,159,151,0.64,,SUI,ARG,0,2,9,24,204,209,0.86,0.46,0.7,0.59,m,0.84,0.45,Roger Federer,Juan Martin Del Potro,6-3 6-0 6-0,0.59,0.17,quarter,0.75,0.33,83,36,38,8,Roger Federer,2009
1,16,8,203,185,171,164,0.42,1,USA,SRB,5,5,14,39,224,203,0.87,0.63,0.71,0.62,m,0.54,0.5,Andy Roddick,Novak Djokovic,6-7(3) 6-4 6-2 2-1 ret.,0.43,0.25,quarter,0.44,0.48,114,88,43,43,Andy Roddick,2009
1,4,6,180,177,143,148,0.46,0.29,ESP,CHI,0,2,11,35,196,206,0.78,0.59,0.67,0.69,m,0.71,0.44,Rafael Nadal,Fernando Gonzalez,6-3 6-2 6-4,0.48,0.27,Fourth,0.63,0.36,96,66,33,22,Rafael Nadal,2009
1,12,4,195,185,150,153,0.5,0.25,FRA,USA,3,5,31,27,220,206,0.84,0.67,0.64,0.53,m,0.61,0.76,Jo-Wilfried Tsonga,James Blake,6-4 6-4 7-6(3),0.37,0.3,Fourth,0.46,0.59,111,97,46,32,Jo-Wilfried Tsonga,2009
1,3,1,174,171,134,138,0.5,0.44,FRA,FRA,4,3,36,31,196,212,0.71,0.59,0.64,0.57,m,0.66,0.59,Gilles Simon,Gael Monfils,6-4 2-6 6-1 ret.,0.49,0.42,Fourth,0.36,0.41,89,78,29,21,Gilles Simon,2009
1,10,7,175,182,156,132,0.29,0.38,ESP,GBR,6,3,50,40,216,212,0.69,0.62,0.74,0.61,m,0.64,0.68,Fernando Verdasco,Andy Murray,2-6 6-1 1-6 6-3 6-4,0.4,0.4,Fourth,0.34,0.56,137,138,51,52,Fernando Verdasco,2009
1,8,10,185,192,153,145,0.6,0.3,ARG,CRO,3,1,45,64,214,209,0.7,0.7,0.67,0.5,m,0.77,0.81,Juan Martin Del Potro,Marin Cilic,5-7 6-4 6-4 6-2,0.39,0.36,Fourth,0.53,0.53,133,119,27,48,Juan Martin Del Potro,2009
1,13,0,206,171,169,148,0.71,0,USA,ESP,2,2,27,24,217,196,0.84,0.63,0.63,0.68,m,0.69,0.77,Andy Roddick,Tommy Robredo,7-5 6-1 6-3,0.41,0.26,Fourth,0.59,0.5,91,67,34,20,Andy Roddick,2009
1,20,8,187,195,156,158,0.67,0.42,SUI,CZE,5,2,40,42,204,214,0.71,0.71,0.67,0.61,m,0.69,0.5,Roger Federer,Tomas Berdych,4-6 6-7(4) 6-4 6-4 6-2,0.39,0.37,Fourth,0.46,0.46,159,151,61,58,Roger Federer,2009
1,3,12,187,187,159,150,0.29,0.2,SRB,CYP,3,2,49,53,206,208,0.74,0.64,0.63,0.54,m,0.76,0.67,Novak Djokovic,Marcos Baghdatis,6-1 7-6(1) 6-7(5) 6-2,0.44,0.33,Fourth,0.56,0.46,147,118,36,37,Novak Djokovic,2009
